代號,收盤,RSI,跌幅(高點),20日報酬,季線,成交量(張)
6683,32.0,48.1,17.8%,0.5%,31.5,497
6664,32.0,48.1,17.8%,0.5%,31.5,497
6680,32.0,48.1,17.8%,0.5%,31.5,497
6692,32.0,48.1,17.8%,0.5%,31.5,497
6684,32.0,48.1,17.8%,0.5%,31.5,497
6667,32.0,48.1,17.8%,0.5%,31.5,497
6679,32.0,48.1,17.8%,0.5%,31.5,497
2332,114.5,56.9,11.9%,-1.3%,115.1,7944
2338,114.5,56.9,11.9%,-1.3%,115.1,7944
2340,114.5,56.9,11.9%,-1.3%,115.1,7944
2329,114.5,56.9,11.9%,-1.3%,115.1,7944
2328,114.5,56.9,11.9%,-1.3%,115.1,7944
2342,114.5,56.9,11.9%,-1.3%,115.1,7944
2344,114.5,56.9,11.9%,-1.3%,115.1,7944
2345,114.5,56.9,11.9%,-1.3%,115.1,7944
2331,114.5,56.9,11.9%,-1.3%,115.1,7944
2337,114.5,56.9,11.9%,-1.3%,115.1,7944
